Match.Number,Date,Player,Runs,Mins,BF,X4s,X6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Overs,Balls,Mdns,Runs.Conc,Wkts,Econ,Pos.B,Inns.B,Dis,Ct,St,Ct.Wk,Ct.Fi,Score,Wickets.Lost,Team.Overs,RPO,Target,Result,Op.Score,Op.Wickets.Lost,Op.Overs,Op.RPO,Op.Target,Op.Inns,Average.wicket,Avg.NB.bat,Top3.NB,Top3.runs,Bat.Catches,Bat.fail,bat.BF20,Bat.120,Top3.BF,Dism.caught,Mid.fail,clean.bowled,bowl.maxw,bowl.low_econ4,bowl.comp4,bowl.nowkt,bowl.str.exp,bowl.34.wkt,bowl.high_econ
1,01/12/06,IK Pathan,NA,NA,NA,NA,NA,NA,NA,NA,2,v South Africa,Johannesburg,4,24,0,30,0,7.5,4,1,0,0,0,0,0,127,4,19.5,6.4,127,1,126,9,20,6.3,NA,1,31.75,7,8.6666666667,82,5,2,3,0,86,1,2,2,2,1,3,1,33,2,0
1,01/12/06,KD Karthik,31,44,28,3,1,110.71,5,not out,2,v South Africa,Johannesburg,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,127,4,19.5,6.4,127,1,126,9,20,6.3,NA,1,31.75,7,8.6666666667,82,5,2,3,0,86,1,2,2,2,1,3,1,33,2,0
1,01/12/06,AB Agarkar,NA,NA,NA,NA,NA,NA,NA,NA,2,v South Africa,Johannesburg,2.3,15,1,10,2,4,3,1,0,0,0,0,0,127,4,19.5,6.4,127,1,126,9,20,6.3,NA,1,31.75,7,8.6666666667,82,5,2,3,0,86,1,2,2,2,1,3,1,33,2,0
1,01/12/06,MS Dhoni,0,8,2,0,0,0,4,bowled,2,v South Africa,Johannesburg,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,127,4,19.5,6.4,127,1,126,9,20,6.3,NA,1,31.75,7,8.6666666667,82,5,2,3,0,86,1,2,2,2,1,3,1,33,2,0
1,01/12/06,S Sreesanth,NA,NA,NA,NA,NA,NA,NA,NA,2,v South Africa,Johannesburg,4,24,0,33,1,8.25,2,1,0,0,0,0,0,127,4,19.5,6.4,127,1,126,9,20,6.3,NA,1,31.75,7,8.6666666667,82,5,2,3,0,86,1,2,2,2,1,3,1,33,2,0
1,01/12/06,Z Khan,NA,NA,NA,NA,NA,NA,NA,NA,2,v South Africa,Johannesburg,4,24,0,15,2,3.75,1,1,0,0,0,0,0,127,4,19.5,6.4,127,1,126,9,20,6.3,NA,1,31.75,7,8.6666666667,82,5,2,3,0,86,1,2,2,2,1,3,1,33,2,0
1,01/12/06,SK Raina,3,15,4,0,0,75,6,not out,2,v South Africa,Johannesburg,NA,NA,NA,NA,NA,NA,NA,1,2,2,0,0,2,127,4,19.5,6.4,127,1,126,9,20,6.3,NA,1,31.75,7,8.6666666667,82,5,2,3,0,86,1,2,2,2,1,3,1,33,2,0
1,01/12/06,SR Tendulkar,10,18,12,2,0,83.33,2,bowled,2,v South Africa,Johannesburg,2.3,15,0,12,1,4.8,5,1,1,1,0,0,1,127,4,19.5,6.4,127,1,126,9,20,6.3,NA,1,31.75,7,8.6666666667,82,5,2,3,0,86,1,2,2,2,1,3,1,33,2,0
1,01/12/06,D Mongia,38,63,45,4,1,84.44,3,caught,2,v South Africa,Johannesburg,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,127,4,19.5,6.4,127,1,126,9,20,6.3,NA,1,31.75,7,8.6666666667,82,5,2,3,0,86,1,2,2,2,1,3,1,33,2,0
1,01/12/06,Harbhajan Singh,NA,NA,NA,NA,NA,NA,NA,NA,2,v South Africa,Johannesburg,3,18,0,22,1,7.33,6,1,0,0,0,0,0,127,4,19.5,6.4,127,1,126,9,20,6.3,NA,1,31.75,7,8.6666666667,82,5,2,3,0,86,1,2,2,2,1,3,1,33,2,0
1,01/12/06,V Sehwag,34,45,29,5,1,117.24,1,run out,2,v South Africa,Johannesburg,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,127,4,19.5,6.4,127,1,126,9,20,6.3,NA,1,31.75,7,8.6666666667,82,5,2,3,0,86,1,2,2,2,1,3,1,33,2,0
2,14/09/07,Harbhajan Singh,1,4,4,0,0,25,8,bowled,1,v Pakistan,Durban,4,24,0,32,1,8,5,2,1,1,0,0,1,141,9,20,7.05,NA,NA,141,7,20,7.05,142,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,14/09/07,IK Pathan,20,11,15,0,2,133.33,7,bowled,1,v Pakistan,Durban,4,24,1,20,2,5,4,2,0,0,0,0,0,141,9,20,7.05,NA,NA,141,7,20,7.05,142,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,14/09/07,KD Karthik,11,12,9,2,0,122.22,5,bowled,1,v Pakistan,Durban,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,0,1,141,9,20,7.05,NA,NA,141,7,20,7.05,142,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,14/09/07,MS Dhoni,33,46,31,3,1,106.45,6,caught,1,v Pakistan,Durban,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,1,0,141,9,20,7.05,NA,NA,141,7,20,7.05,142,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,14/09/07,RP Singh,NA,NA,NA,NA,NA,NA,NA,NA,1,v Pakistan,Durban,4,24,0,23,1,5.75,1,2,0,0,0,0,0,141,9,20,7.05,NA,NA,141,7,20,7.05,142,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,14/09/07,RV Uthappa,50,52,39,4,2,128.2,3,caught,1,v Pakistan,Durban,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,141,9,20,7.05,NA,NA,141,7,20,7.05,142,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,14/09/07,S Sreesanth,1,2,3,0,0,33.33,10,not out,1,v Pakistan,Durban,4,24,0,29,0,7.25,2,2,0,0,0,0,0,141,9,20,7.05,NA,NA,141,7,20,7.05,142,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,14/09/07,V Sehwag,5,10,3,1,0,166.66,2,bowled,1,v Pakistan,Durban,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,141,9,20,7.05,NA,NA,141,7,20,7.05,142,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,14/09/07,Yuvraj Singh,1,8,4,0,0,25,4,caught,1,v Pakistan,Durban,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,141,9,20,7.05,NA,NA,141,7,20,7.05,142,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,14/09/07,AB Agarkar,14,9,9,2,0,155.55,9,run out,1,v Pakistan,Durban,4,24,0,35,1,8.75,3,2,0,0,0,0,0,141,9,20,7.05,NA,NA,141,7,20,7.05,142,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,14/09/07,G Gambhir,0,2,3,0,0,0,1,caught,1,v Pakistan,Durban,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,141,9,20,7.05,NA,NA,141,7,20,7.05,142,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,16/09/07,G Gambhir,51,45,33,5,2,154.54,1,caught,2,v New Zealand,Johannesburg,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,180,9,20,9,191,0,190,10,20,9.5,NA,1,20,7.4285714286,7.6666666667,91,2,2,2,3,52,6,1,1,2,1,3,2,37,0,3
3,16/09/07,Harbhajan Singh,7,7,6,1,0,116.66,9,caught,2,v New Zealand,Johannesburg,4,24,0,24,2,6,5,1,0,0,0,0,0,180,9,20,9,191,0,190,10,20,9.5,NA,1,20,7.4285714286,7.6666666667,91,2,2,2,3,52,6,1,1,2,1,3,2,37,0,3
3,16/09/07,RV Uthappa,0,3,2,0,0,0,3,caught,2,v New Zealand,Johannesburg,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,180,9,20,9,191,0,190,10,20,9.5,NA,1,20,7.4285714286,7.6666666667,91,2,2,2,3,52,6,1,1,2,1,3,2,37,0,3
3,16/09/07,AB Agarkar,1,4,2,0,0,50,8,run out,2,v New Zealand,Johannesburg,4,24,0,40,0,10,3,1,0,0,0,0,0,180,9,20,9,191,0,190,10,20,9.5,NA,1,20,7.4285714286,7.6666666667,91,2,2,2,3,52,6,1,1,2,1,3,2,37,0,3
3,16/09/07,Yuvraj Singh,5,8,7,0,0,71.42,5,caught,2,v New Zealand,Johannesburg,3,18,0,38,1,12.66,6,1,0,0,0,0,0,180,9,20,9,191,0,190,10,20,9.5,NA,1,20,7.4285714286,7.6666666667,91,2,2,2,3,52,6,1,1,2,1,3,2,37,0,3
3,16/09/07,S Sreesanth,19,11,10,4,0,190,10,not out,2,v New Zealand,Johannesburg,3,18,0,37,1,12.33,1,1,0,0,0,0,0,180,9,20,9,191,0,190,10,20,9.5,NA,1,20,7.4285714286,7.6666666667,91,2,2,2,3,52,6,1,1,2,1,3,2,37,0,3
3,16/09/07,IK Pathan,11,9,10,2,0,110,7,bowled,2,v New Zealand,Johannesburg,2,12,0,16,0,8,4,1,0,0,0,0,0,180,9,20,9,191,0,190,10,20,9.5,NA,1,20,7.4285714286,7.6666666667,91,2,2,2,3,52,6,1,1,2,1,3,2,37,0,3
3,16/09/07,RP Singh,1,5,1,0,0,100,11,not out,2,v New Zealand,Johannesburg,4,24,0,29,2,7.25,2,1,1,1,0,0,1,180,9,20,9,191,0,190,10,20,9.5,NA,1,20,7.4285714286,7.6666666667,91,2,2,2,3,52,6,1,1,2,1,3,2,37,0,3
3,16/09/07,V Sehwag,40,24,17,6,2,235.29,2,caught,2,v New Zealand,Johannesburg,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,180,9,20,9,191,0,190,10,20,9.5,NA,1,20,7.4285714286,7.6666666667,91,2,2,2,3,52,6,1,1,2,1,3,2,37,0,3
3,16/09/07,KD Karthik,17,18,12,3,0,141.66,6,caught,2,v New Zealand,Johannesburg,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,180,9,20,9,191,0,190,10,20,9.5,NA,1,20,7.4285714286,7.6666666667,91,2,2,2,3,52,6,1,1,2,1,3,2,37,0,3
3,16/09/07,MS Dhoni,24,31,20,2,0,120,4,run out,2,v New Zealand,Johannesburg,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,180,9,20,9,191,0,190,10,20,9.5,NA,1,20,7.4285714286,7.6666666667,91,2,2,2,3,52,6,1,1,2,1,3,2,37,0,3
4,19/09/07,V Sehwag,68,59,52,4,3,130.76,2,bowled,1,v England,Durban,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,218,4,20,10.9,NA,1,200,6,20,10,219,2,54.5,12.3333333333,20,132,1,2,2,5,97,2,1,2,3,0,5,2,38,3,1
4,19/09/07,Yuvraj Singh,58,14,16,3,7,362.5,5,caught,1,v England,Durban,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,218,4,20,10.9,NA,1,200,6,20,10,219,2,54.5,12.3333333333,20,132,1,2,2,5,97,2,1,2,3,0,5,2,38,3,1
4,19/09/07,G Gambhir,58,62,41,7,1,141.46,1,caught,1,v England,Durban,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,0,1,218,4,20,10.9,NA,1,200,6,20,10,219,2,54.5,12.3333333333,20,132,1,2,2,5,97,2,1,2,3,0,5,2,38,3,1
4,19/09/07,Harbhajan Singh,NA,NA,NA,NA,NA,NA,NA,NA,1,v England,Durban,4,24,0,35,1,8.75,5,2,2,2,0,0,2,218,4,20,10.9,NA,1,200,6,20,10,219,2,54.5,12.3333333333,20,132,1,2,2,5,97,2,1,2,3,0,5,2,38,3,1
