Match.Number,Score,Wickets.Lost,Overs,RPO,Target,Inns,Result,Opposition,Ground,Date,Op.Score,Op.Wickets.Lost,Op.Overs,Op.RPO,Op.Target,Op.Inns,Average.wicket,Avg.NB.bat,Top3.NB,Top3.runs,Bat.Catches,Bat.fail,bat.BF20,Bat.120,Top3.BF,Dism.caught,Mid.fail,clean.bowled,bowl.maxw,bowl.low_econ4,bowl.comp4,bowl.nowkt,bowl.str.exp,bowl.34.wkt,bowl.high_econ
1,127,4,19.5,6.4,127,2,1,v South Africa,Johannesburg,01/12/06,126,9,20,6.3,NA,1,31.75,7,8.6666666667,82,5,2,3,0,86,1,2,2,2,1,3,1,33,2,0
2,141,9,20,7.05,NA,1,NA,v Pakistan,Durban,14/09/07,141,7,20,7.05,142,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,180,9,20,9,191,2,0,v New Zealand,Johannesburg,16/09/07,190,10,20,9.5,NA,1,20,7.4285714286,7.6666666667,91,2,2,2,3,52,6,1,1,2,1,3,2,37,0,3
4,218,4,20,10.9,NA,1,1,v England,Durban,19/09/07,200,6,20,10,219,2,54.5,12.3333333333,20,132,1,2,2,5,97,2,1,2,3,0,5,2,38,3,1
5,153,5,20,7.65,NA,1,1,v South Africa,Durban,20/09/07,116,9,20,5.8,154,2,30.6,7.4285714286,4.6666666667,30,1,2,2,2,31,4,1,0,4,4,5,2,23,0,0
6,188,5,20,9.4,NA,1,1,v Australia,Durban,22/09/07,173,7,20,8.65,189,2,37.6,8.7142857143,8.3333333333,67,1,3,3,4,66,3,2,0,2,2,4,2,33,4,3
7,157,5,20,7.85,NA,1,1,v Pakistan,Johannesburg,24/09/07,152,10,19.3,7.79,158,2,31.4,10.7142857143,13.3333333333,98,3,3,1,3,73,4,2,1,3,1,3,2,44,2,2
8,167,3,18.1,9.19,167,2,1,v Australia,Mumbai (BS),20/10/07,166,5,20,8.3,NA,1,55.6666666667,11.4,15,103,0,2,3,5,82,3,1,0,2,1,5,2,47,3,1
9,74,10,17.3,4.22,NA,1,0,v Australia,Melbourne,01/02/08,75,1,11.2,6.61,75,2,7.4,7,3,17,1,6,2,1,17,7,3,2,1,0,0,4,25,1,0
10,174,7,19.2,9,172,2,1,v Sri Lanka,Colombo (RPS),10/02/09,171,4,20,8.55,NA,1,24.8571428571,5.2857142857,3.6666666667,49,2,3,2,3,34,4,2,2,2,1,5,2,40,3,1
11,162,8,20,8.1,NA,1,0,v New Zealand,Christchurch,25/02/09,166,3,18.5,8.81,163,2,20.25,4.7142857143,9,93,0,4,1,3,60,3,3,4,1,2,3,3,35,1,3
12,149,6,20,7.45,NA,1,0,v New Zealand,Wellington,27/02/09,150,5,20,7.5,150,2,24.8333333333,7.2857142857,2.6666666667,34,1,2,2,2,28,5,1,1,2,2,4,2,41,1,1
13,180,5,20,9,NA,1,1,v Bangladesh,Nottingham,06/06/09,155,8,20,7.75,181,2,36,11.2857142857,22,112,4,1,3,5,90,2,1,3,4,1,3,2,26,3,1
14,113,2,15.3,7.29,113,2,1,v Ireland,Nottingham,10/06/09,112,8,18,6.22,NA,1,56.5,15.5,19.6666666667,103,2,1,2,0,89,2,1,0,4,1,2,3,22,0,0
15,153,7,20,7.65,NA,1,0,v West Indies,Lord's,12/06/09,156,3,18.4,8.35,154,2,21.8571428571,9.8571428571,4,24,2,3,3,3,24,6,1,1,1,0,2,3,26,1,1
16,150,5,20,7.5,154,2,0,v England,Lord's,14/06/09,153,7,20,7.65,NA,1,30,11.1428571429,5.6666666667,37,2,2,3,3,39,3,0,1,3,0,3,2,26,0,1
17,118,8,20,5.9,131,2,0,v South Africa,Nottingham,16/06/09,130,5,20,6.5,NA,1,14.75,7.5714285714,9.6666666667,53,0,3,2,0,55,7,2,0,1,1,2,3,26,1,1
18,186,9,20,9.3,216,2,0,v Sri Lanka,Nagpur,09/12/09,215,5,20,10.75,NA,1,20.6666666667,6.8571428571,9.3333333333,90,0,4,1,3,52,5,3,2,1,1,3,2,52,2,4
19,211,4,19.1,11,207,2,1,v Sri Lanka,Mohali,12/12/09,206,7,20,10.3,NA,1,52.75,12.6666666667,19,131,1,2,3,5,82,1,2,1,3,0,2,4,44,1,4
20,116,3,14.5,7.82,116,2,1,v Afghanistan,Gros Islet,01/05/10,115,8,20,5.75,NA,1,38.6666666667,10.8,11.3333333333,70,5,1,2,2,65,2,0,0,3,3,3,3,19,2,1
21,186,5,20,9.3,NA,1,1,v South Africa,Gros Islet,02/05/10,172,5,20,8.6,187,2,37.2,9.5714285714,14.3333333333,117,1,2,2,4,78,5,1,0,2,0,4,3,33,3,1
22,135,10,17.4,7.64,185,2,0,v Australia,Bridgetown,07/05/10,184,5,20,9.2,NA,1,13.5,5,1.3333333333,16,2,6,1,1,22,7,3,2,2,1,4,3,31,0,3
23,155,9,20,7.75,170,2,0,v West Indies,Bridgetown,09/05/10,169,6,20,8.45,NA,1,17.2222222222,6.1428571429,6.6666666667,54,5,2,1,3,53,8,1,0,3,1,4,3,36,3,2
24,163,5,20,8.15,NA,1,0,v Sri Lanka,Gros Islet,11/05/10,167,5,20,8.35,164,2,32.6,14.3333333333,21,117,3,1,2,4,91,5,1,0,2,0,4,3,44,1,1
25,112,4,15,7.46,112,2,1,v Zimbabwe,Harare,12/06/10,111,9,20,5.55,NA,1,28,6.3333333333,4.3333333333,35,3,2,2,3,31,3,0,0,3,3,3,1,27,3,0
26,144,3,18,8,141,2,1,v Zimbabwe,Harare,13/06/10,140,5,20,7,NA,1,48,12.4,19.3333333333,128,3,2,2,1,101,3,2,0,2,2,5,1,28,2,1
27,168,6,20,8.4,NA,1,1,v South Africa,Durban,09/01/11,147,9,20,7.35,169,2,28,10,10.3333333333,95,3,1,2,3,65,3,1,2,2,2,3,0,22,2,1
28,159,6,20,7.95,NA,1,1,v West Indies,Port of Spain,04/06/11,143,5,20,7.15,160,2,26.5,3.5714285714,7.6666666667,45,3,3,3,2,43,5,2,1,2,1,5,1,27,2,0
29,165,10,19.4,8.38,NA,1,0,v England,Manchester,31/08/11,169,4,19.3,8.66,166,2,16.5,8.5714285714,14.6666666667,102,2,3,2,3,72,7,3,1,2,0,3,3,35,2,2
