Match.Number,Batsman,Date,Runs,Mins,BF,X4s,X6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Score,Wickets.Lost,Overs,RPO,Target,Result,Op.Score,Op.Wickets.Lost,Op.Overs,Op.RPO,Op.Target,Dis,Ct,St,Ct.Wk,Ct.Fi,field.inns,Total.Catches,Top3.runs,Average.SR,top3.boundaries
1,KD Karthik,01/12/06,31,44,28,3,1,110.71,5,not out,2,v South Africa,Johannesburg,127,4,19.5,6.4,127,1,126,9,20,6.3,NA,0,0,0,0,0,1,4,44,100.285,8
1,MS Dhoni,01/12/06,0,8,2,0,0,0,4,bowled,2,v South Africa,Johannesburg,127,4,19.5,6.4,127,1,126,9,20,6.3,NA,1,1,0,1,0,1,4,44,100.285,8
1,SK Raina,01/12/06,3,15,4,0,0,75,6,not out,2,v South Africa,Johannesburg,127,4,19.5,6.4,127,1,126,9,20,6.3,NA,2,2,0,0,2,1,4,44,100.285,8
1,SR Tendulkar,01/12/06,10,18,12,2,0,83.33,2,bowled,2,v South Africa,Johannesburg,127,4,19.5,6.4,127,1,126,9,20,6.3,NA,1,1,0,0,1,1,4,44,100.285,8
1,V Sehwag,01/12/06,34,45,29,5,1,117.24,1,run out,2,v South Africa,Johannesburg,127,4,19.5,6.4,127,1,126,9,20,6.3,NA,0,0,0,0,0,1,4,44,100.285,8
3,G Gambhir,16/09/07,51,45,33,5,2,154.54,1,caught,2,v New Zealand,Johannesburg,180,9,20,9,191,0,190,10,20,9.5,NA,1,1,0,0,1,1,2,91,129.9433333333,15
3,Harbhajan Singh,16/09/07,7,7,6,1,0,116.66,9,caught,2,v New Zealand,Johannesburg,180,9,20,9,191,0,190,10,20,9.5,NA,0,0,0,0,0,1,2,91,129.9433333333,15
3,KD Karthik,16/09/07,17,18,12,3,0,141.66,6,caught,2,v New Zealand,Johannesburg,180,9,20,9,191,0,190,10,20,9.5,NA,1,1,0,0,1,1,2,91,129.9433333333,15
3,MS Dhoni,16/09/07,24,31,20,2,0,120,4,run out,2,v New Zealand,Johannesburg,180,9,20,9,191,0,190,10,20,9.5,NA,0,0,0,0,0,1,2,91,129.9433333333,15
3,RV Uthappa,16/09/07,0,3,2,0,0,0,3,caught,2,v New Zealand,Johannesburg,180,9,20,9,191,0,190,10,20,9.5,NA,0,0,0,0,0,1,2,91,129.9433333333,15
3,V Sehwag,16/09/07,40,24,17,6,2,235.29,2,caught,2,v New Zealand,Johannesburg,180,9,20,9,191,0,190,10,20,9.5,NA,0,0,0,0,0,1,2,91,129.9433333333,15
3,Yuvraj Singh,16/09/07,5,8,7,0,0,71.42,5,caught,2,v New Zealand,Johannesburg,180,9,20,9,191,0,190,10,20,9.5,NA,0,0,0,0,0,1,2,91,129.9433333333,15
4,G Gambhir,19/09/07,58,62,41,7,1,141.46,1,caught,1,v England,Durban,218,4,20,10.9,NA,1,200,6,20,10,219,1,1,0,0,1,2,1,132,140.74,16
4,MS Dhoni,19/09/07,10,22,8,0,0,125,4,not out,1,v England,Durban,218,4,20,10.9,NA,1,200,6,20,10,219,0,0,0,0,0,2,1,132,140.74,16
4,RV Uthappa,19/09/07,6,8,4,1,0,150,3,bowled,1,v England,Durban,218,4,20,10.9,NA,1,200,6,20,10,219,0,0,0,0,0,2,1,132,140.74,16
4,V Sehwag,19/09/07,68,59,52,4,3,130.76,2,bowled,1,v England,Durban,218,4,20,10.9,NA,1,200,6,20,10,219,0,0,0,0,0,2,1,132,140.74,16
4,Yuvraj Singh,19/09/07,58,14,16,3,7,362.5,5,caught,1,v England,Durban,218,4,20,10.9,NA,1,200,6,20,10,219,0,0,0,0,0,2,1,132,140.74,16
5,G Gambhir,20/09/07,19,19,19,3,0,100,1,caught,1,v South Africa,Durban,153,5,20,7.65,NA,1,116,9,20,5.8,154,0,0,0,0,0,2,1,30,66.6666666667,4
