Date,Match.Number,Batsman,Runs,Mins,BF,X4s,X6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Score,Wickets.Lost,Overs,RPO,Target,Result,Op.Score,Op.Wickets.Lost,Op.Overs,Op.RPO,Op.Target,Op.Inns
01/12/06,1,MS Dhoni,0,8,2,0,0,0,4,bowled,2,v South Africa,Johannesburg,127,4,19.5,6.4,127,1,126,9,20,6.3,NA,1
01/12/06,1,V Sehwag,34,45,29,5,1,117.24,1,run out,2,v South Africa,Johannesburg,127,4,19.5,6.4,127,1,126,9,20,6.3,NA,1
01/12/06,1,SR Tendulkar,10,18,12,2,0,83.33,2,bowled,2,v South Africa,Johannesburg,127,4,19.5,6.4,127,1,126,9,20,6.3,NA,1
01/12/06,1,SK Raina,3,15,4,0,0,75,6,not out,2,v South Africa,Johannesburg,127,4,19.5,6.4,127,1,126,9,20,6.3,NA,1
01/12/06,1,KD Karthik,31,44,28,3,1,110.71,5,not out,2,v South Africa,Johannesburg,127,4,19.5,6.4,127,1,126,9,20,6.3,NA,1
14/09/07,2,Harbhajan Singh,1,4,4,0,0,25,8,bowled,1,v Pakistan,Durban,141,9,20,7.05,NA,NA,141,7,20,7.05,142,2
14/09/07,2,G Gambhir,0,2,3,0,0,0,1,caught,1,v Pakistan,Durban,141,9,20,7.05,NA,NA,141,7,20,7.05,142,2
14/09/07,2,RV Uthappa,50,52,39,4,2,128.2,3,caught,1,v Pakistan,Durban,141,9,20,7.05,NA,NA,141,7,20,7.05,142,2
14/09/07,2,Yuvraj Singh,1,8,4,0,0,25,4,caught,1,v Pakistan,Durban,141,9,20,7.05,NA,NA,141,7,20,7.05,142,2
14/09/07,2,V Sehwag,5,10,3,1,0,166.66,2,bowled,1,v Pakistan,Durban,141,9,20,7.05,NA,NA,141,7,20,7.05,142,2
14/09/07,2,KD Karthik,11,12,9,2,0,122.22,5,bowled,1,v Pakistan,Durban,141,9,20,7.05,NA,NA,141,7,20,7.05,142,2
14/09/07,2,MS Dhoni,33,46,31,3,1,106.45,6,caught,1,v Pakistan,Durban,141,9,20,7.05,NA,NA,141,7,20,7.05,142,2
16/09/07,3,Harbhajan Singh,7,7,6,1,0,116.66,9,caught,2,v New Zealand,Johannesburg,180,9,20,9,191,0,190,10,20,9.5,NA,1
16/09/07,3,RV Uthappa,0,3,2,0,0,0,3,caught,2,v New Zealand,Johannesburg,180,9,20,9,191,0,190,10,20,9.5,NA,1
16/09/07,3,V Sehwag,40,24,17,6,2,235.29,2,caught,2,v New Zealand,Johannesburg,180,9,20,9,191,0,190,10,20,9.5,NA,1
16/09/07,3,G Gambhir,51,45,33,5,2,154.54,1,caught,2,v New Zealand,Johannesburg,180,9,20,9,191,0,190,10,20,9.5,NA,1
16/09/07,3,Yuvraj Singh,5,8,7,0,0,71.42,5,caught,2,v New Zealand,Johannesburg,180,9,20,9,191,0,190,10,20,9.5,NA,1
16/09/07,3,MS Dhoni,24,31,20,2,0,120,4,run out,2,v New Zealand,Johannesburg,180,9,20,9,191,0,190,10,20,9.5,NA,1
16/09/07,3,KD Karthik,17,18,12,3,0,141.66,6,caught,2,v New Zealand,Johannesburg,180,9,20,9,191,0,190,10,20,9.5,NA,1
