Match.Number,Bowler,Overs,Balls,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground,Score,Wickets.Lost,Team.Overs,RPO,Target,Bowl.Inns,Result,Date,Op.Score,Op.Wickets.Lost,Op.Overs,Op.RPO,Op.Target,Dis,Ct,St,Ct.Wk,Ct.Fi,field.inns,Total.Catches
1,AB Agarkar,2.3,15,1,10,2,4,1,v South Africa,Johannesburg,127,4,19.5,6.4,127,2,1,01/12/06,126,9,20,6.3,NA,0,0,0,0,0,1,1
1,Harbhajan Singh,3,18,0,22,1,7.33,1,v South Africa,Johannesburg,127,4,19.5,6.4,127,2,1,01/12/06,126,9,20,6.3,NA,0,0,0,0,0,1,1
1,IK Pathan,4,24,0,30,0,7.5,1,v South Africa,Johannesburg,127,4,19.5,6.4,127,2,1,01/12/06,126,9,20,6.3,NA,0,0,0,0,0,1,1
1,S Sreesanth,4,24,0,33,1,8.25,1,v South Africa,Johannesburg,127,4,19.5,6.4,127,2,1,01/12/06,126,9,20,6.3,NA,0,0,0,0,0,1,1
1,SR Tendulkar,2.3,15,0,12,1,4.8,1,v South Africa,Johannesburg,127,4,19.5,6.4,127,2,1,01/12/06,126,9,20,6.3,NA,1,1,0,0,1,1,1
1,Z Khan,4,24,0,15,2,3.75,1,v South Africa,Johannesburg,127,4,19.5,6.4,127,2,1,01/12/06,126,9,20,6.3,NA,0,0,0,0,0,1,1
3,AB Agarkar,4,24,0,40,0,10,1,v New Zealand,Johannesburg,180,9,20,9,191,2,0,16/09/07,190,10,20,9.5,NA,0,0,0,0,0,1,1
3,Harbhajan Singh,4,24,0,24,2,6,1,v New Zealand,Johannesburg,180,9,20,9,191,2,0,16/09/07,190,10,20,9.5,NA,0,0,0,0,0,1,1
3,IK Pathan,2,12,0,16,0,8,1,v New Zealand,Johannesburg,180,9,20,9,191,2,0,16/09/07,190,10,20,9.5,NA,0,0,0,0,0,1,1
3,RP Singh,4,24,0,29,2,7.25,1,v New Zealand,Johannesburg,180,9,20,9,191,2,0,16/09/07,190,10,20,9.5,NA,1,1,0,0,1,1,1
3,S Sreesanth,3,18,0,37,1,12.33,1,v New Zealand,Johannesburg,180,9,20,9,191,2,0,16/09/07,190,10,20,9.5,NA,0,0,0,0,0,1,1
3,Yuvraj Singh,3,18,0,38,1,12.66,1,v New Zealand,Johannesburg,180,9,20,9,191,2,0,16/09/07,190,10,20,9.5,NA,0,0,0,0,0,1,1
4,Harbhajan Singh,4,24,0,35,1,8.75,2,v England,Durban,218,4,20,10.9,NA,1,1,19/09/07,200,6,20,10,219,2,2,0,0,2,2,3
4,IK Pathan,4,24,0,37,3,9.25,2,v England,Durban,218,4,20,10.9,NA,1,1,19/09/07,200,6,20,10,219,0,0,0,0,0,2,3
4,Joginder Sharma,4,24,0,57,0,14.25,2,v England,Durban,218,4,20,10.9,NA,1,1,19/09/07,200,6,20,10,219,1,1,0,0,1,2,3
4,RP Singh,4,24,0,28,2,7,2,v England,Durban,218,4,20,10.9,NA,1,1,19/09/07,200,6,20,10,219,0,0,0,0,0,2,3
4,S Sreesanth,4,24,0,38,0,9.5,2,v England,Durban,218,4,20,10.9,NA,1,1,19/09/07,200,6,20,10,219,0,0,0,0,0,2,3
5,Harbhajan Singh,4,24,0,31,2,7.75,2,v South Africa,Durban,153,5,20,7.65,NA,1,1,20/09/07,116,9,20,5.8,154,0,0,0,0,0,2,0
