Match.Number,Bowler,Overs,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground,Score,Wickets.Lost,Team.Overs,RPO,Target,Bowl.Inns,Result,Date,Op.Score,Op.Wickets.Lost,Op.Overs,Op.RPO,Op.Target,Op.Inns
1,Z Khan,4,0,15,2,3.75,1,v South Africa,Johannesburg,127,4,19.5,6.4,127,2,1,01/12/06,126,9,20,6.3,NA,1
1,S Sreesanth,4,0,33,1,8.25,1,v South Africa,Johannesburg,127,4,19.5,6.4,127,2,1,01/12/06,126,9,20,6.3,NA,1
1,AB Agarkar,2.3,1,10,2,4,1,v South Africa,Johannesburg,127,4,19.5,6.4,127,2,1,01/12/06,126,9,20,6.3,NA,1
1,IK Pathan,4,0,30,0,7.5,1,v South Africa,Johannesburg,127,4,19.5,6.4,127,2,1,01/12/06,126,9,20,6.3,NA,1
1,SR Tendulkar,2.3,0,12,1,4.8,1,v South Africa,Johannesburg,127,4,19.5,6.4,127,2,1,01/12/06,126,9,20,6.3,NA,1
1,Harbhajan Singh,3,0,22,1,7.33,1,v South Africa,Johannesburg,127,4,19.5,6.4,127,2,1,01/12/06,126,9,20,6.3,NA,1
2,IK Pathan,3,0,22,0,7.33,1,v Ireland,Nottingham,113,2,15.3,7.29,113,2,1,10/06/09,112,8,18,6.22,NA,1
2,Z Khan,3,0,19,4,6.33,1,v Ireland,Nottingham,113,2,15.3,7.29,113,2,1,10/06/09,112,8,18,6.22,NA,1
2,I Sharma,3,0,18,0,6,1,v Ireland,Nottingham,113,2,15.3,7.29,113,2,1,10/06/09,112,8,18,6.22,NA,1
2,Yuvraj Singh,1,0,4,0,4,1,v Ireland,Nottingham,113,2,15.3,7.29,113,2,1,10/06/09,112,8,18,6.22,NA,1
2,PP Ojha,4,0,18,2,4.5,1,v Ireland,Nottingham,113,2,15.3,7.29,113,2,1,10/06/09,112,8,18,6.22,NA,1
2,Harbhajan Singh,4,0,25,1,6.25,1,v Ireland,Nottingham,113,2,15.3,7.29,113,2,1,10/06/09,112,8,18,6.22,NA,1
3,Z Khan,2.4,0,26,0,9.75,2,v West Indies,Lord's,153,7,20,7.65,NA,1,0,12/06/09,156,3,18.4,8.35,154,2
3,IK Pathan,2,0,9,1,4.5,2,v West Indies,Lord's,153,7,20,7.65,NA,1,0,12/06/09,156,3,18.4,8.35,154,2
3,YK Pathan,4,0,27,1,6.75,2,v West Indies,Lord's,153,7,20,7.65,NA,1,0,12/06/09,156,3,18.4,8.35,154,2
3,Harbhajan Singh,4,1,31,0,7.75,2,v West Indies,Lord's,153,7,20,7.65,NA,1,0,12/06/09,156,3,18.4,8.35,154,2
3,I Sharma,3,0,31,0,10.33,2,v West Indies,Lord's,153,7,20,7.65,NA,1,0,12/06/09,156,3,18.4,8.35,154,2
3,PP Ojha,3,0,29,1,9.66,2,v West Indies,Lord's,153,7,20,7.65,NA,1,0,12/06/09,156,3,18.4,8.35,154,2
4,Z Khan,3,0,26,1,8.66,1,v England,Lord's,150,5,20,7.5,154,2,0,14/06/09,153,7,20,7.65,NA,1
4,RP Singh,3,0,13,1,4.33,1,v England,Lord's,150,5,20,7.5,154,2,0,14/06/09,153,7,20,7.65,NA,1
4,I Sharma,4,0,36,0,9,1,v England,Lord's,150,5,20,7.5,154,2,0,14/06/09,153,7,20,7.65,NA,1
4,Yuvraj Singh,2,0,20,0,10,1,v England,Lord's,150,5,20,7.5,154,2,0,14/06/09,153,7,20,7.65,NA,1
4,Harbhajan Singh,4,0,30,3,7.5,1,v England,Lord's,150,5,20,7.5,154,2,0,14/06/09,153,7,20,7.65,NA,1
4,RA Jadeja,4,0,26,2,6.5,1,v England,Lord's,150,5,20,7.5,154,2,0,14/06/09,153,7,20,7.65,NA,1
5,Z Khan,3,0,26,1,8.66,1,v South Africa,Nottingham,118,8,20,5.9,131,2,0,16/06/09,130,5,20,6.5,NA,1
5,RP Singh,2,0,21,1,10.5,1,v South Africa,Nottingham,118,8,20,5.9,131,2,0,16/06/09,130,5,20,6.5,NA,1
5,I Sharma,1,0,6,0,6,1,v South Africa,Nottingham,118,8,20,5.9,131,2,0,16/06/09,130,5,20,6.5,NA,1
5,RA Jadeja,3,0,9,1,3,1,v South Africa,Nottingham,118,8,20,5.9,131,2,0,16/06/09,130,5,20,6.5,NA,1
5,RG Sharma,2,0,15,0,7.5,1,v South Africa,Nottingham,118,8,20,5.9,131,2,0,16/06/09,130,5,20,6.5,NA,1
5,Yuvraj Singh,4,0,25,0,6.25,1,v South Africa,Nottingham,118,8,20,5.9,131,2,0,16/06/09,130,5,20,6.5,NA,1
5,Harbhajan Singh,4,0,20,1,5,1,v South Africa,Nottingham,118,8,20,5.9,131,2,0,16/06/09,130,5,20,6.5,NA,1
5,SK Raina,1,0,6,1,6,1,v South Africa,Nottingham,118,8,20,5.9,131,2,0,16/06/09,130,5,20,6.5,NA,1
6,A Nehra,4,0,52,1,13,1,v Sri Lanka,Nagpur,186,9,20,9.3,216,2,0,09/12/09,215,5,20,10.75,NA,1
6,I Sharma,4,0,22,0,5.5,1,v Sri Lanka,Nagpur,186,9,20,9.3,216,2,0,09/12/09,215,5,20,10.75,NA,1
6,AB Dinda,3,0,34,1,11.33,1,v Sri Lanka,Nagpur,186,9,20,9.3,216,2,0,09/12/09,215,5,20,10.75,NA,1
6,YK Pathan,4,0,54,1,13.5,1,v Sri Lanka,Nagpur,186,9,20,9.3,216,2,0,09/12/09,215,5,20,10.75,NA,1
6,PP Ojha,2,0,27,0,13.5,1,v Sri Lanka,Nagpur,186,9,20,9.3,216,2,0,09/12/09,215,5,20,10.75,NA,1
6,RG Sharma,3,0,22,1,7.33,1,v Sri Lanka,Nagpur,186,9,20,9.3,216,2,0,09/12/09,215,5,20,10.75,NA,1
7,A Nehra,3,0,44,0,14.66,1,v Sri Lanka,Mohali,211,4,19.1,11,207,2,1,12/12/09,206,7,20,10.3,NA,1
7,I Sharma,4,0,42,2,10.5,1,v Sri Lanka,Mohali,211,4,19.1,11,207,2,1,12/12/09,206,7,20,10.3,NA,1
7,S Tyagi,2,0,21,0,10.5,1,v Sri Lanka,Mohali,211,4,19.1,11,207,2,1,12/12/09,206,7,20,10.3,NA,1
7,YK Pathan,3,0,29,1,9.66,1,v Sri Lanka,Mohali,211,4,19.1,11,207,2,1,12/12/09,206,7,20,10.3,NA,1
7,SK Raina,1,0,10,0,10,1,v Sri Lanka,Mohali,211,4,19.1,11,207,2,1,12/12/09,206,7,20,10.3,NA,1
7,RA Jadeja,4,0,30,0,7.5,1,v Sri Lanka,Mohali,211,4,19.1,11,207,2,1,12/12/09,206,7,20,10.3,NA,1
7,Yuvraj Singh,3,0,23,3,7.66,1,v Sri Lanka,Mohali,211,4,19.1,11,207,2,1,12/12/09,206,7,20,10.3,NA,1
8,P Kumar,3,0,14,2,4.66,1,v Afghanistan,Gros Islet,116,3,14.5,7.82,116,2,1,01/05/10,115,8,20,5.75,NA,1
8,A Nehra,4,0,19,3,4.75,1,v Afghanistan,Gros Islet,116,3,14.5,7.82,116,2,1,01/05/10,115,8,20,5.75,NA,1
