Date,Player,Dis,Ct,St,Ct.Wk,Ct.Fi,field inns,Opposition,Ground,Match.Number,Score,Wickets.Lost,Overs,RPO,Target,bat inns,Result,Op.Score,Op.Wickets.Lost,Op.Overs,Op.RPO,Op.Target,Op.Inns
01/12/06,AB Agarkar,0,0,0,0,0,1,v South Africa,Johannesburg,1,127,4,19.5,6.4,127,2,1,126,9,20,6.3,NA,1
01/12/06,MS Dhoni,1,1,0,1,0,1,v South Africa,Johannesburg,1,127,4,19.5,6.4,127,2,1,126,9,20,6.3,NA,1
01/12/06,Harbhajan Singh,0,0,0,0,0,1,v South Africa,Johannesburg,1,127,4,19.5,6.4,127,2,1,126,9,20,6.3,NA,1
01/12/06,KD Karthik,0,0,0,0,0,1,v South Africa,Johannesburg,1,127,4,19.5,6.4,127,2,1,126,9,20,6.3,NA,1
01/12/06,Z Khan,0,0,0,0,0,1,v South Africa,Johannesburg,1,127,4,19.5,6.4,127,2,1,126,9,20,6.3,NA,1
01/12/06,D Mongia,1,1,0,0,1,1,v South Africa,Johannesburg,1,127,4,19.5,6.4,127,2,1,126,9,20,6.3,NA,1
01/12/06,IK Pathan,0,0,0,0,0,1,v South Africa,Johannesburg,1,127,4,19.5,6.4,127,2,1,126,9,20,6.3,NA,1
01/12/06,SK Raina,2,2,0,0,2,1,v South Africa,Johannesburg,1,127,4,19.5,6.4,127,2,1,126,9,20,6.3,NA,1
01/12/06,V Sehwag,0,0,0,0,0,1,v South Africa,Johannesburg,1,127,4,19.5,6.4,127,2,1,126,9,20,6.3,NA,1
01/12/06,S Sreesanth,0,0,0,0,0,1,v South Africa,Johannesburg,1,127,4,19.5,6.4,127,2,1,126,9,20,6.3,NA,1
01/12/06,SR Tendulkar,1,1,0,0,1,1,v South Africa,Johannesburg,1,127,4,19.5,6.4,127,2,1,126,9,20,6.3,NA,1
14/09/07,AB Agarkar,0,0,0,0,0,2,v Pakistan,Durban,2,141,9,20,7.05,NA,1,NA,141,7,20,7.05,142,2
14/09/07,MS Dhoni,1,1,0,1,0,2,v Pakistan,Durban,2,141,9,20,7.05,NA,1,NA,141,7,20,7.05,142,2
14/09/07,G Gambhir,0,0,0,0,0,2,v Pakistan,Durban,2,141,9,20,7.05,NA,1,NA,141,7,20,7.05,142,2
14/09/07,Harbhajan Singh,1,1,0,0,1,2,v Pakistan,Durban,2,141,9,20,7.05,NA,1,NA,141,7,20,7.05,142,2
14/09/07,KD Karthik,1,1,0,0,1,2,v Pakistan,Durban,2,141,9,20,7.05,NA,1,NA,141,7,20,7.05,142,2
14/09/07,IK Pathan,0,0,0,0,0,2,v Pakistan,Durban,2,141,9,20,7.05,NA,1,NA,141,7,20,7.05,142,2
14/09/07,V Sehwag,0,0,0,0,0,2,v Pakistan,Durban,2,141,9,20,7.05,NA,1,NA,141,7,20,7.05,142,2
14/09/07,RP Singh,0,0,0,0,0,2,v Pakistan,Durban,2,141,9,20,7.05,NA,1,NA,141,7,20,7.05,142,2
14/09/07,S Sreesanth,0,0,0,0,0,2,v Pakistan,Durban,2,141,9,20,7.05,NA,1,NA,141,7,20,7.05,142,2
14/09/07,RV Uthappa,0,0,0,0,0,2,v Pakistan,Durban,2,141,9,20,7.05,NA,1,NA,141,7,20,7.05,142,2
14/09/07,Yuvraj Singh,0,0,0,0,0,2,v Pakistan,Durban,2,141,9,20,7.05,NA,1,NA,141,7,20,7.05,142,2
16/09/07,AB Agarkar,0,0,0,0,0,1,v New Zealand,Johannesburg,3,180,9,20,9,191,2,0,190,10,20,9.5,NA,1
16/09/07,MS Dhoni,0,0,0,0,0,1,v New Zealand,Johannesburg,3,180,9,20,9,191,2,0,190,10,20,9.5,NA,1
16/09/07,G Gambhir,1,1,0,0,1,1,v New Zealand,Johannesburg,3,180,9,20,9,191,2,0,190,10,20,9.5,NA,1
16/09/07,Harbhajan Singh,0,0,0,0,0,1,v New Zealand,Johannesburg,3,180,9,20,9,191,2,0,190,10,20,9.5,NA,1
16/09/07,KD Karthik,1,1,0,0,1,1,v New Zealand,Johannesburg,3,180,9,20,9,191,2,0,190,10,20,9.5,NA,1
16/09/07,IK Pathan,0,0,0,0,0,1,v New Zealand,Johannesburg,3,180,9,20,9,191,2,0,190,10,20,9.5,NA,1
16/09/07,V Sehwag,0,0,0,0,0,1,v New Zealand,Johannesburg,3,180,9,20,9,191,2,0,190,10,20,9.5,NA,1
16/09/07,RP Singh,1,1,0,0,1,1,v New Zealand,Johannesburg,3,180,9,20,9,191,2,0,190,10,20,9.5,NA,1
16/09/07,S Sreesanth,0,0,0,0,0,1,v New Zealand,Johannesburg,3,180,9,20,9,191,2,0,190,10,20,9.5,NA,1
16/09/07,RV Uthappa,0,0,0,0,0,1,v New Zealand,Johannesburg,3,180,9,20,9,191,2,0,190,10,20,9.5,NA,1
16/09/07,Yuvraj Singh,0,0,0,0,0,1,v New Zealand,Johannesburg,3,180,9,20,9,191,2,0,190,10,20,9.5,NA,1
19/09/07,MS Dhoni,0,0,0,0,0,2,v England,Durban,4,218,4,20,10.9,NA,1,1,200,6,20,10,219,2
